list_name,name,label
yk45i75,room_temperatu,Room Temperature
yk45i75,elevated_tempe,Elevated Temperature
yk45i75,cryo_temperatu,Cryo Temperature
fz2pa27,celsius,Celsius
fz2pa27,kelvin,Kelvin
ty4wq31,celsius,Celsius
ty4wq31,kelvin,Kelvin
xo17m36,axial_strain,Axial Strain
xo17m36,radial_circumf,Radial/circumferential strain
xo17m36,shear_strain,Shear Strain
xo17m36,volumetric_str,Volumetric Strain
ze9wx62,pa,Pa
ze9wx62,kpa,kPa
ze9wx62,mpa,MPa
ze9wx62,gpa,GPa
ze9wx62,bar,bar
ze9wx62,kbar,kbar
qs8tg01,dry,Dry
qs8tg01,wet,Wet
td3fv51,saturated,Saturated
td3fv51,partially_satu,Partially Saturated
td3fv51,undersaturated,Undersaturated
td3fv51,as_is,As is
cn55a58,sgl_phase_flu,Single Phase Fluid
cn55a58,multiphase_flu,Multiphase Fluid
lr3gm28,super_critical,Super Critical
lr3gm28,liquid,Liquid
lr3gm28,gas,Gas
lr3gm28,solid,Solid
sr3wj71,super_critical,Super Critical
sr3wj71,liquid,Liquid
sr3wj71,gas,Gas
sr3wj71,solid,Solid
cc35a87,drained,Drained
cc35a87,undrained,Undrained
bq1he67,linear,Linear
bq1he67,rotational,Rotational
ya5mn23,shear_stress,Shear Stress
ya5mn23,normal_stress,Normal Stress
ya5mn23,axial_stress,Axial Stress
ya5mn23,differential_s,Differential Stress
ya5mn23,indentation_ha,Indentation Hardness
si9ao54,pa,Pa
si9ao54,kpa,kPa
si9ao54,mpa,MPa
si9ao54,gpa,GPa
si9ao54,n_m_2,N/m^2
si9ao54,kn_mm_2,kN/mm^2
oj4wz46,creep,Creep
oj4wz46,strain_rate,Strain Rate
oj4wz46,stress_rate,Stress Rate
oj4wz46,displacement_r,Displacement Rate
oj4wz46,velocity,Velocity
oj4wz46,slide_hold_slide,Slide-Hold-Slide
yh3pr64,constant,Constant
yh3pr64,stepping,Stepping
yh3pr64,static,Static
yh3pr64,quasistatic,QuasiStatic
yh3pr64,dynamic,Dynamic
