type,name,label,read_only,required,relevant,constraint,appearance,calculation
start,start,,,,,,,
end,end,,,,,,,
begin_group,group_qz88e24,Basics,,,,,,
decimal,interval_thickness,Interval Thickness,false,true,,,,
select_one zw9ye70,thickness_units,Thickness Units,false,true,,,,
select_one th1pp14,is_this_a_bed_or_package,Is this a bed or package (succession of beds) or covered?,false,true,,,,
end_group,,,,,,,,
begin_group,group_hx8lo41,Characteristics,,,${is_this_a_bed_or_package} = 'bed' or ${is_this_a_bed_or_package} = 'interbedded' or ${is_this_a_bed_or_package} = 'package_succe',,,
select_one we36h70,primary_lithology,Primary Lithology,false,true,${is_this_a_bed_or_package} = 'bed' or ${is_this_a_bed_or_package} = 'interbedded' or ${is_this_a_bed_or_package} = 'package_succe',,,
select_one vb9ph32,principal_siliciclastic_type,Principal Siliciclastic Type,false,true,${primary_lithology} = 'siliciclastic',,,
select_one jm3fd49,mud_silt_principal_grain_size,Mudstone/Siltstone Principal Grain Size,false,true,${principal_siliciclastic_type} = 'claystone' or ${principal_siliciclastic_type} = 'mudstone' or ${principal_siliciclastic_type} = 'shale' or ${principal_siliciclastic_type} = 'siltstone',,,
select_one gf7lv09,sand_principal_grain_size,Sandstone Principal Grain Size,false,true,${principal_siliciclastic_type} = 'sandstone',,,
select_one jk0sn61,congl_principal_grain_size,Conglomerate Principal Grain Size,false,true,${principal_siliciclastic_type} = 'conglomerate',,,
select_one jk0sn61,breccia_principal_grain_size,Breccia Principal Grain Size,false,true,${principal_siliciclastic_type} = 'breccia',,,
select_one ap2mh08,principal_dunham_class,Principal Dunham Classification,false,true,${primary_lithology} = 'limestone' or ${primary_lithology} = 'dolomite',,,
select_one eb2oc45,interbed_lithology,Interbed Lithology ,false,true,${is_this_a_bed_or_package} = 'interbedded',,,
select_one md69g21,interbed_siliciclastic_type,Interbed Siliciclastic Type,false,true,${interbed_lithology} = 'siliciclastic',,,
select_one en2os90,mud_silt_interbed_grain_size,Mudstone/Siltstone Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'claystone' or ${interbed_siliciclastic_type} = 'mudstone' or ${interbed_siliciclastic_type} = 'shale' or ${interbed_siliciclastic_type} = 'siltstone',,,
select_one he4ke66,sand_interbed_grain_size,Sandstone Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'sandstone',,,
select_one te32l95,congl_interbed_grain_size,Conglomerate Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'conglomerate',,,
select_one te32l95,breccia_interbed_grain_size,Breccia Interbed Grain Size,false,true,${interbed_siliciclastic_type} = 'breccia',,,
select_one uf03r86,interbed_dunham_class,Interbed Dunham Classification,false,true,${interbed_lithology} = 'limestone' or ${interbed_lithology} = 'dolomite',,,
decimal,interbed_proportion,Interbed Relative Proportion (%),,false,${is_this_a_bed_or_package} = 'interbedded',. > 0 and . <= 50,,
select_one jf3we63,interbed_thickness,Interbed Thickness,,false,${is_this_a_bed_or_package} = 'interbedded',,,
select_one ss8kj53,interbed_proportion_change,Interbed Proportion Change (Up Section),,false,${is_this_a_bed_or_package} = 'interbedded',,,
